e1CPT_Code_Desc,e1Units,Billed,Avg Billed,CPT Payments,Avg CPT Pay per charge line,Avg Cpt Pay per Unit,Average of ReimbRate,,CPT Code,Value Care,Focal Point,Actual pay,Average of ReimbRate,Unit
"12011 - Repair, Simple, face <2.5 cm",9,"2,808",312,"1,458",162,162,51.9%,,12011, $193.80 , $174.42 , $161.95 ,51.9%,9
15860 - TEST FOR BLOOD FLOW IN FLAP,60,"22,910",382,"1,453",24,24,20.8%,,15860, $181.65 , $163.49 , $24.21 ,20.8%,60
"38572 - LAPAROSCOPY, LYMPHADENECTOMY (Facility)",2,"4,583","2,292","1,447",723,723,31.8%,,38572," $1,549.22 "," $1,394.30 ", $723.50 ,31.8%,2
50860 - TRANSPLANT URETER TO SKIN,1,"2,052","2,052","1,438","1,438",1438,70.1%,,50860," $1,597.82 "," $1,438.04 "," $1,438.04 ",70.1%,1
68761 - CLOSE TEAR DUCT OPENING,5,"2,359",472,"1,431",286,286,63.3%,,68761, $251.07 , $225.96 , $286.14 ,63.3%,5
27826 - OPEN TREATMENT OF FRACTURE DISTAL TIBIA,1,"2,000","2,000","1,430","1,430",1430,71.5%,,27826," $1,476.91 "," $1,329.22 "," $1,429.68 ",71.5%,1
"G0105 - CA SCREEN, HIGH RISK INDIVI",6,"3,998",666,"1,421",237,237,35.9%,,G0105, $412.80 , $371.52 , $236.90 ,35.9%,6
56821 - Colposcopy of Vulva w/Biopsy,6,"2,046",341,"1,417",236,236,83.1%,,56821, $289.83 , $260.85 , $236.12 ,83.1%,6
23412 - ROTATOR CUFF CHRONIC,1,"2,389","2,389","1,414","1,414",1414,59.2%,,23412," $1,465.34 "," $1,318.81 "," $1,414.22 ",59.2%,1
"15120 - SKIN SPLIT GRAFT, FACENECK",1,"2,580","2,580","1,404","1,404",1404,54.4%,,15120," $1,450.88 "," $1,305.79 "," $1,404.48 ",54.4%,1
28485 - REPAIR METATARSAL FRACTURE,2,"2,828","1,414","1,399",699,699,49.5%,,28485, $963.20 , $866.88 , $699.30 ,49.5%,2
"57283 - COLPOPEXY, INTRAPERITONEAL",4,"3,806",952,"1,398",350,350,36.7%,,57283," $1,203.86 "," $1,083.47 ", $349.61 ,36.7%,4
"10160 - Aspiration, hematoma/seroma in skin",7,"1,632",233,"1,373",196,196,84.4%,,10160, $222.14 , $199.93 , $196.09 ,84.4%,7
90833 - PSYTX PT&FAM WE&M 30 MIN,14,"1,974",141,"1,369",98,98,69.4%,,90833, $107.74 , $96.97 , $97.79 ,69.4%,14
"73620 - X-RAY EXAM OF FOOT, 2V (Technical)",35,"1,638",47,"1,368",39,39,86.5%,,73620, $13.66 , $12.29 , $39.08 ,86.5%,35
"49329 - Laproscopic excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm or less diameter",1,"2,735","2,735","1,368","1,368",1368,50.0%,,49329, Not Found , Not Found ," $1,367.50 ",50.0%,1
"11603 - REMOVE MALIG LESION, TRUNK",7,"4,123",589,"1,367",195,195,33.1%,,11603, $477.84 , $430.06 , $195.22 ,33.1%,7
58720 - REMOVAL OF OVARYOVIDUCT(S),2,"2,265","1,132","1,365",683,683,69.9%,,58720," $1,305.67 "," $1,175.10 ", $682.52 ,69.9%,2
52315 - CYSTOSCOPY AND TREATMENT,2,"2,326","1,163","1,365",682,682,58.7%,,52315, $815.69 , $734.12 , $682.25 ,58.7%,2
"13160 - LATE CLOSURE OF WOUND, EXTE",1,"1,596","1,596","1,363","1,363",1363,85.4%,,13160," $1,362.95 "," $1,226.66 "," $1,362.95 ",85.4%,1
G0442 - ANNUAL ALCOHOL SCREEN 15 MIN,125,"5,000",40,"1,362",11,11,44.2%,,G0442, $22.00 , $19.80 , $10.90 ,44.2%,125
L1902 - Lace up ankle brace,22,"2,662",121,"1,357",62,62,53.4%,,L1902, $62.95 , $62.95 , $61.69 ,53.4%,22
23073 - EXC SHOULDER TUM DEEP > 5 CM,2,"2,341","1,171","1,356",678,678,47.8%,,23073," $1,200.39 "," $1,080.35 ", $678.22 ,47.8%,2
29862 - HIP ARTHROSCOPYSURGERY,1,"2,008","2,008","1,356","1,356",1356,67.5%,,29862," $1,400.55 "," $1,260.50 "," $1,355.76 ",67.5%,1
44314 - REVISION OF ILEOSTOMY,1,"2,508","2,508","1,353","1,353",1353,53.9%,,44314," $1,725.09 "," $1,552.58 "," $1,352.64 ",53.9%,1
"86141 - C-REACTIVE PROTEIN, HS",108,"3,348",31,"1,347",12,12,41.8%,,86141, $12.95 , $11.66 , $12.47 ,41.8%,108
"29873 - ARTHROSCOPY KNEE, W LAT REL",1,"2,582","2,582","1,346","1,346",1346,52.1%,,29873, $926.76 , $834.08 ," $1,345.68 ",52.1%,1
38525 - BIOPSYREMOVE LYMPH NODE(S),4,"3,752",938,"1,338",335,335,35.7%,,38525, $760.73 , $684.66 , $334.62 ,35.7%,4
21932 - EXC BACK TUM DEEP < 5 CM,1,"1,757","1,757","1,335","1,335",1335,76.0%,,21932," $1,143.69 "," $1,029.32 "," $1,335.00 ",76.0%,1
28725 - FUSION OF FOOT BONES,1,"2,140","2,140","1,331","1,331",1331,62.2%,,28725," $1,331.13 "," $1,198.02 "," $1,331.13 ",62.2%,1
"82150 - ASSAY, SERUM AMYLASE",215,"4,085",19,"1,331",6,6,34.0%,,82150, $6.48 , $5.83 , $6.19 ,34.0%,215
95024 - INTRADERMAL TESTS,103,"1,442",111,"1,317",101,13,90.1%,,95024, $13.08 , $11.77 , $12.62 ,90.1%,103
46080 - INCISION OF ANAL SPHINCTER,6,"4,710",785,"1,313",219,219,33.5%,,46080, $505.03 , $454.53 , $218.87 ,33.5%,6
G0180 - MD CERTIFICATION HHA PATIEN,38,"5,624",141,"1,311",33,35,38.5%,,G0180, $62.00 , $55.80 , $34.50 ,38.5%,38
"64455 - N BLOCK INJ,  PLANTAR DIGIT",20,"2,124",106,"1,310",65,65,66.8%,,64455, $85.04 , $76.54 , $65.48 ,66.8%,20
69209 - REM IMPACTED CERUMEN - LAVAGE - UNI,56,"2,835",53,"1,305",24,24,48.6%,,69209, $26.03 , $23.43 , $23.69 ,48.6%,56
"56515 - Destruction, Vulva/Vaginal Lesions (complex/extensive)",4,"1,900",380,"1,304",261,326,68.6%,,56515, $484.20 , $435.78 , $326.04 ,68.6%,4
27339 - EXC THIGHKNEE TUM DEEP >5CM,1,"1,962","1,962","1,300","1,300",1300,66.3%,,27339," $1,300.47 "," $1,170.42 "," $1,300.47 ",66.3%,1
73521 - X-RAY EXAM HIPS BI 2 VIEWS (Global),19,"1,938",97,"1,300",65,68,67.1%,,73521, $56.51 , $17.88 , $68.40 ,67.1%,19
CTNS - CT No Show Fee,33,"4,950",150,"1,282",39,39,85.5%,,CTNS, Not Found , Not Found , $38.85 ,85.5%,33
"14000 - ADJACENT TISSUE TRANSFER, T",2,"2,974","1,487","1,281",640,640,43.1%,,14000," $1,088.74 ", $979.87 , $640.41 ,43.1%,2
49621 - RPR PARASTOMAL HERNIA RDC,1,"1,885","1,885","1,279","1,279",1279,67.9%,,49621," $1,279.06 "," $1,151.15 "," $1,279.06 ",67.9%,1
95070 - BRONCHIAL ALLERGY TESTS,25,"4,125",165,"1,278",51,51,31.0%,,95070, $54.92 , $49.43 , $51.12 ,31.0%,25
96160 - PT-FOCUSED HLTH RISK ASSMT,315,"7,560",24,"1,277",4,4,17.2%,,96160, $4.18 , $3.76 , $4.05 ,17.2%,315
52500 - REVISION OF BLADDER NECK (Facility),2,"2,652","1,326","1,272",636,636,48.0%,,52500, $832.46 , $749.21 , $635.97 ,48.0%,2
"64420 - N BLOCK INJ, INTERCOST, SNG",8,"3,104",388,"1,271",159,159,40.9%,,64420, $167.77 , $150.99 , $158.86 ,40.9%,8
24075 - REMOVE SUBCUTANEOUS ARMELB,2,"2,026","1,013","1,269",635,635,62.6%,,24075, $936.59 , $842.93 , $634.62 ,62.6%,2
"A9585 - Gadavist, 10 ml (per 0.1 ml)","3,885","1,943",45,"1,267",29,0,67.0%,,A9585, $0.26 , $0.26 , $0.33 ,67.0%,"3,885"
"73090 - X-RAY EXAM OF FOREARM, 2V (Technical)",39,"2,379",61,"1,266",32,32,59.3%,,73090, $14.28 , $12.85 , $32.47 ,59.3%,39
92550 - TYMPANOMETRY & REFLEX THRESH,40,"1,960",49,"1,266",32,32,64.6%,,92550, $34.52 , $31.07 , $31.64 ,64.6%,40
64400 - NRV DES TRIGEMINL,6,"2,608",435,"1,259",210,210,49.3%,,64400, $196.11 , $176.50 , $209.84 ,49.3%,6
57461 - LEEP w/Conization,3,"3,225","1,075","1,250",417,417,38.8%,,57461, $617.84 , $556.06 , $416.71 ,38.8%,3
"72072 - X-RAY EXAM OF SPINE, THORACIC 3V (Technical)",28,"1,596",57,"1,248",45,45,84.2%,,72072, $72.66 , $65.39 , $44.58 ,84.2%,28
"66982 - CATARACT SURGERY, COMPLEX",1,"2,190","2,190","1,247","1,247",1247,57.0%,,66982," $1,247.25 "," $1,122.53 "," $1,247.25 ",57.0%,1
80069 - RENAL PANEL 10,158,"2,844",18,"1,247",8,8,44.7%,,80069, $8.68 , $7.81 , $7.89 ,44.7%,158
70547 - MR ANGIOGRAPHY NECK W/O DYE (Technical),5,"5,580","1,116","1,246",249,249,22.3%,,70547, $105.57 , $283.37 , $249.27 ,22.3%,5
73220 - MRI UPPR EXTREMITY W/O&W/DYE (Technical),2,"3,112","1,556","1,246",623,623,40.0%,,73220, $811.03 , $729.93 , $622.86 ,40.0%,2
72220 - X-RAY EXAM OF SACRUM/COCCYX 2V (Technical),31,"1,389",45,"1,244",40,40,89.5%,,72220, $60.24 , $54.22 , $40.13 ,89.5%,31
"49505 - REPAIR INGUINAL HERNIA, AGE (Facility)",2,"2,278","1,139","1,242",621,621,53.5%,,49505, $905.93 , $815.34 , $621.12 ,53.5%,2
"71260 - CT, THORAX W DYE (Technical)",5,"2,950",590,"1,240",248,248,42.0%,,71260, $101.22 , $91.10 , $248.04 ,42.0%,5
J7307 - Nexplanon,1,"1,530","1,530","1,239","1,239",1239,81.0%,,J7307," $1,238.93 "," $1,238.93 "," $1,238.93 ",81.0%,1
"82040 - ASSAY, SERUM ALBUMIN",262,"6,026",23,"1,238",5,5,21.3%,,82040, $4.95 , $4.46 , $4.72 ,21.3%,262
58322 - ARTIFICIAL INSEMINATION,5,"1,090",218,"1,237",247,247,113.5%,,58322, $157.35 , $141.62 , $247.42 ,113.5%,5
"76998 - US GUIDE, INTRAOP (Professional)",10,"1,360",136,"1,237",124,124,91.0%,,76998, $112.40 , $101.16 , $123.70 ,91.0%,10
27691 - REVISE LOWER LEG TENDON,1,"1,874","1,874","1,236","1,236",1236,66.0%,,27691," $1,277.33 "," $1,149.60 "," $1,236.48 ",66.0%,1
64454 - NJX AA&/STRD GNCLR NRV BRNCH,3,"1,387",462,"1,234",411,411,88.9%,,64454, $389.91 , $350.92 , $411.35 ,88.9%,3
28470 - TREAT METATARSAL FRACTURE,6,"3,378",563,"1,232",205,205,54.7%,,28470, $376.60 , $338.94 , $205.32 ,54.7%,6
99235 - OBSERV OR INPT HOSP MOD (Facility),7,"2,520",360,"1,223",175,175,48.5%,,99235, $189.72 , $170.75 , $174.74 ,48.5%,7
"27654 - REPAIR, SECONDARY, ACHILLES",1,"1,736","1,736","1,218","1,218",1218,70.2%,,27654," $1,222.37 "," $1,100.13 "," $1,218.37 ",70.2%,1
"73700 - CT, LOWER EXTREM W/O DYE (Global)",5,"2,830",566,"1,218",244,244,43.0%,,73700, $161.46 , $224.12 , $243.59 ,43.0%,5
"51860 - REPAIR OF BLADDER WOUND, SI (Facility)",1,"1,651","1,651","1,214","1,214",1214,73.6%,,51860," $1,270.96 "," $1,143.86 "," $1,214.32 ",73.6%,1
"31255 - NASAL ENDOSCOPY,TOTAL ETHMO",2,"5,892","2,946","1,214",607,607,20.6%,,31255, $551.31 , $496.18 , $607.00 ,20.6%,2
28730 - FUSION OF FOOT BONES,1,"2,193","2,193","1,213","1,213",1213,55.3%,,28730," $1,253.03 "," $1,127.73 "," $1,212.96 ",55.3%,1
"99401 - PREVENTIVE COUNSELING, INDI",60,"5,160",74,"1,212",17,20,45.4%,,99401, $45.25 , $40.73 , $20.19 ,45.4%,60
27486 - REVISE KNEE JOINT REPLACEMENT,1,"6,059","6,059","1,202","1,202",1202,19.8%,,27486," $2,404.25 "," $2,163.83 "," $1,202.13 ",19.8%,1
56420 - I & D BARTHOLIN'S GLAND ABSCESS,4,"1,528",382,"1,200",300,300,78.5%,,56420, $326.27 , $293.64 , $300.05 ,78.5%,4
49521 - RPR RCR INGNL HERNIA ANY AG (Facility),1,"1,750","1,750","1,200","1,200",1200,68.6%,,49521," $1,239.73 "," $1,115.76 "," $1,200.08 ",68.6%,1
99990 - Missed Appoinment Fee Pain and Spine,15,"2,250",150,"1,200",80,80,100.0%,,99990, Not Found , Not Found , $80.00 ,100.0%,15
ML001 - MONA LISA - ONE TREATMENT,2,"1,400",700,"1,200",600,600,85.7%,,ML001, Not Found , Not Found , $600.00 ,85.7%,2
54660 - REVISION OF TESTIS,2,"2,000","1,000","1,197",598,598,59.8%,,54660, $608.00 , $547.20 , $598.28 ,59.8%,2
54420 - REVISION OF PENIS,1,"1,537","1,537","1,191","1,191",1191,77.5%,,54420," $1,190.55 "," $1,071.50 "," $1,190.55 ",77.5%,1
93793 - ANTICOAG MGMT PT WARFARIN,112,"2,688",24,"1,184",10,11,49.8%,,93793, $17.26 , $15.53 , $10.57 ,49.8%,112
56820 - Colposcopy of Vulva,6,"1,386",231,"1,184",197,197,85.4%,,56820, $216.36 , $194.72 , $197.30 ,85.4%,6
55150 - REMOVAL OF SCROTUM (Facility),2,"2,464","1,232","1,182",591,591,48.0%,,55150, $841.14 , $757.03 , $590.91 ,48.0%,2
58561 - HYSTRSCPY WREMOVAL LEIOMYO,2,"2,350","1,175","1,182",591,591,50.3%,,58561, $610.32 , $549.29 , $590.80 ,50.3%,2
69100 - BIOPSY OF EXTERNAL EAR,12,"2,376",198,"1,181",98,98,49.7%,,69100, $166.61 , $149.95 , $98.44 ,49.7%,12
"99291 - Critical Care, First Hour",5,"3,365",673,"1,181",236,236,35.1%,,99291, $323.87 , $291.48 , $236.17 ,35.1%,5
L3807 - Thumb Spica Splint,7,"2,611",373,"1,181",169,169,45.2%,,L3807, $194.01 , $194.01 , $168.65 ,45.2%,7
"99284 - EMERGENCY DEPT VISIT, MODERATE (Facility)",9,"3,321",369,"1,176",131,131,35.4%,,99284, $141.30 , $127.17 , $130.64 ,35.4%,9
"58541 - LSH, UTERUS 250 G OR LESS (Facility)",2,"3,422","1,711","1,174",587,587,34.3%,,58541," $1,256.50 "," $1,130.85 ", $586.80 ,34.3%,2
"28805 - AMPUTATION, FOOT, TRANSMETA",1,"1,818","1,818","1,173","1,173",1173,64.5%,,28805," $1,211.96 "," $1,090.76 "," $1,173.20 ",64.5%,1
A9575 - Clariscan 10mL,"9,940","3,479",34,"1,170",12,0,34.4%,,A9575, $0.12 , $0.12 , $0.12 ,34.4%,"9,940"
58120 - DILATION AND CURETTAGE - HOSPITAL,3,"1,425",356,"1,169",292,390,82.1%,,58120, $518.34 , $466.51 , $389.77 ,82.1%,3
27405 - REPAIR OF KNEE LIGAMENTCAP,1,"1,678","1,678","1,167","1,167",1167,69.6%,,27405," $1,167.41 "," $1,050.67 "," $1,167.41 ",69.6%,1
90677 - Prevnar 20,6,"1,608",268,"1,163",194,194,72.3%,,90677, $296.43 , $296.43 , $193.91 ,72.3%,6
93970 - XTREM COMP BIL (Technical),5,"2,514",503,"1,163",233,233,46.6%,,93970, $244.24 , $46.60 , $232.60 ,46.6%,5
90670 - PREVNAR 13,5,"1,320",264,"1,162",232,232,88.1%,,90670, Not Found , Not Found , $232.49 ,88.1%,5
25310 - TRANSPLANT FOREARM TENDON,4,"5,491","1,373","1,160",290,290,17.2%,,25310," $1,068.49 ", $961.64 , $290.03 ,17.2%,4
50575 - KIDNEY ENDOSCOPY (Facility),1,"1,811","1,811","1,158","1,158",1158,63.9%,,50575," $1,196.34 "," $1,076.71 "," $1,158.08 ",63.9%,1
"44202 - LAP, ENTERECTOMY",2,"6,330","3,165","1,155",578,578,36.5%,,44202," $2,386.31 "," $2,147.68 ", $577.50 ,36.5%,2
27488 - REMOVAL OF KNEE PROSTHESIS,1,"4,846","4,846","1,140","1,140",1140,23.5%,,27488," $2,057.15 "," $1,851.44 "," $1,140.20 ",23.5%,1
45915 - REMOVE RECTAL OBSTRUCTION,4,"2,664",666,"1,138",284,284,43.2%,,45915, $617.84 , $556.06 , $284.49 ,43.2%,4
45910 - DILATION OF RECTAL NARROWING,5,"2,205",441,"1,136",227,227,64.4%,,45910, $332.06 , $298.85 , $227.13 ,64.4%,5
49203 - EXC ABD TUM 5 CM OR LESS,1,"3,419","3,419","1,135","1,135",1135,33.2%,,49203, Not Found , Not Found ," $1,134.69 ",33.2%,1
76498 - MRI Fusion Biopsy for Prostate,5,"4,745",949,"1,126",225,225,23.7%,,76498, $167.05 , $120.16 , $225.20 ,23.7%,5
J1885 - Ketorolac 60 mg,"1,365","9,555",23,"1,126",3,1,13.2%,,J1885, $0.39 , $0.39 , $0.91 ,13.2%,"1,365"
"12001 - Repair, Simple, trunk <2.5 CM (Facility)",8,"1,584",144,"1,121",102,140,70.8%,,12001, $161.98 , $145.78 , $140.14 ,70.8%,8
"96380 - Administration of respiratory syncytial virus, monoclonal antibody, seasonal dose by intramuscular injection, with counseling by physician or other qualified health care professional.",35,"1,785",51,"1,117",32,32,66.4%,,96380, Not Found , Not Found , $31.91 ,66.4%,35
49320 - LAPAROSCOPY (Facility),2,"1,586",793,"1,115",557,557,70.3%,,49320, $566.35 , $509.72 , $557.30 ,70.3%,2
80307 - DRUG TEST PRSMV CHEM ANLYZR,66,"7,920",120,"1,113",17,17,48.8%,,80307, $62.14 , $55.93 , $16.87 ,48.8%,66
28300 - INCISION OF HEEL BONE,2,"3,504","1,752","1,112",556,556,63.5%,,28300," $1,112.46 "," $1,001.21 ", $556.23 ,63.5%,2
72220 - X-RAY EXAM OF SACRUM/COCCYX 2V (Global),19,"1,302",69,"1,109",58,58,85.5%,,72220, $60.24 , $54.22 , $58.34 ,85.5%,19
"73070 - X-RAY EXAM OF ELBOW, 2V (Technical)",26,"1,769",68,"1,104",42,42,62.4%,,73070, $14.90 , $35.21 , $42.47 ,62.4%,26
29879 - KNEE ARTHROSCOPYARTHROPLAS,2,"2,189","1,095","1,102",551,551,65.4%,,29879," $1,137.91 "," $1,024.12 ", $550.76 ,65.4%,2
"11441 - Excision benign lesion, face, ears, mucous membrane, 0.6-1.0 cm",6,"1,900",317,"1,100",183,183,57.9%,,11441, $300.82 , $270.74 , $183.26 ,57.9%,6
49520 - REPAIR RECURRENT INGUINAL H (Facility),1,"1,542","1,542","1,097","1,097",1097,71.2%,,49520," $1,097.41 ", $987.67 ," $1,097.41 ",71.2%,1
70554 - FMRI BRAIN BY TECH (Technical),3,"3,210","1,070","1,096",365,365,51.2%,,70554, $557.66 , $668.45 , $365.49 ,51.2%,3
"72052 - X-RAY EXAM OF SPINE, CERV 6+V (Technical)",15,"1,455",97,"1,096",73,73,80.7%,,72052, $114.89 , $103.40 , $73.04 ,80.7%,15
44346 - REVISION OF COLOSTOMY,1,"2,950","2,950","1,094","1,094",1094,37.1%,,44346," $2,029.96 "," $1,826.96 "," $1,094.47 ",37.1%,1
"29999 - ARTHROSCOPY, UNLISTED PROCEDU",1,"1,196","1,196","1,093","1,093",1093,91.4%,,29999, Not Found , Not Found ," $1,093.12 ",91.4%,1
27698 - FOLLOWUP REPAIR OF ANKLE LI,1,"2,949","2,949","1,093","1,093",1093,37.1%,,27698," $1,092.79 ", $983.51 ," $1,092.79 ",37.1%,1
96366 - TherProphDiag IV Infusion Add'l Hr,34,"1,632",63,"1,088",42,32,66.8%,,96366, $32.43 , $29.19 , $32.07 ,66.8%,34
73720 - MRI LWR EXTREMITY W/O&W/DYE (Technical),3,"4,665","1,555","1,088",363,363,23.3%,,73720, $187.54 , $168.79 , $362.58 ,23.3%,3
80305 - DRUG TEST PRSMV DIR OPT OBS,88,"4,928",56,"1,086",12,12,23.4%,,80305, $12.60 , $11.34 , $12.34 ,23.4%,88
25600 - TREAT RADIUS ULNA FRACTURE,2,"1,386",693,"1,084",542,542,78.2%,,25600, $589.49 , $530.54 , $542.11 ,78.2%,2
28122 - PARTIAL REMOVAL OF FOOT BON,2,"2,410","1,205","1,081",541,541,44.9%,,28122," $1,009.48 ", $908.53 , $540.54 ,44.9%,2
76882 - US Extremity Non-Vascular Limited (Technical),20,"1,240",62,"1,076",54,54,91.4%,,76882, $61.48 , $55.33 , $53.82 ,91.4%,20
46320 - REMOVE HEMORRHOID CLOT,5,"2,105",421,"1,062",212,212,63.1%,,46320, $373.71 , $336.34 , $212.47 ,63.1%,5
96138 - PSYCL/NRPSYC TECH 1ST,22,"1,460",63,"1,058",46,48,76.5%,,96138, $53.35 , $48.02 , $48.10 ,76.5%,22
95250 - GLUCOSE MONITORING CONT,6,"1,465",244,"1,058",176,176,70.7%,,95250, $229.07 , $206.16 , $176.31 ,70.7%,6
73723 - MRI JOINT LWR EXTR W/O&W/DYE (Technical),2,"2,950","1,475","1,054",527,527,35.7%,,73723, $187.54 , $168.79 , $527.08 ,35.7%,2
99024 - Postop visit,"4,690",103,0,"1,053",0,0,,,99024, Not Found , Not Found , $0.22 ,0.0%,"4,690"
A4617 - MOUTHPIECE,876,"4,380",5,"1,052",1,1,70.0%,,A4617, $3.03 , $3.03 , $1.18 ,70.0%,876
24147 - PARTIAL OLECRANON PROCESS B,1,"1,484","1,484","1,051","1,051",1051,70.8%,,24147," $1,085.27 ", $976.74 ," $1,050.56 ",70.8%,1
64646 - CHEMODENERV TRUNK MUSC 1-5,5,"1,880",376,"1,040",208,208,55.3%,,64646, $272.47 , $245.22 , $207.97 ,55.3%,5
73630 - X-RAY EXAM OF FOOT,15,"1,489",99,"1,033",69,69,69.1%,,73630, $49.06 , $44.15 , $68.89 ,69.1%,15
51555 - PARTIAL REMOVAL OF BLADDER,1,"2,932","2,932","1,033","1,033",1033,35.2%,,51555," $2,134.09 "," $1,920.68 "," $1,032.92 ",35.2%,1
J7301 - Skyla (levonorgestrel),1,"1,134","1,134","1,032","1,032",1032,91.0%,,J7301," $1,031.61 "," $1,031.61 "," $1,031.61 ",91.0%,1
NEUGI - Neurology GammaCore Initial Visit,3,"1,350",450,"1,029",343,343,76.2%,,NEUGI, Not Found , Not Found , $342.86 ,76.2%,3
"26410 - REPAIR HAND TENDON, EACH",1,"1,680","1,680","1,025","1,025",1025,61.0%,,26410," $1,058.66 ", $952.79 ," $1,024.80 ",61.0%,1
49250 - EXCISION OF UMBILICUS,1,"1,360","1,360","1,024","1,024",1024,75.3%,,49250," $1,023.95 ", $921.56 ," $1,023.95 ",75.3%,1
"49505 - REPAIR INGUINAL HERNIA, AGE",2,"1,646",823,"1,024",512,512,51.3%,,49505, $905.93 , $815.34 , $511.85 ,51.3%,2
25073 - EXC FOREARM TUM DEEP 3+ CM,3,"1,687",562,"1,023",341,341,48.6%,,25073, $921.55 , $829.40 , $341.13 ,48.6%,3
"73700 - CT, LOWER EXTREM W/O DYE (Technical)",4,"1,792",448,"1,022",255,255,57.0%,,73700, $161.46 , $224.12 , $255.49 ,57.0%,4
"12054 - Layer rep,face/ears 7.6-12.5 cm",3,"2,757",919,"1,013",338,338,55.1%,,12054, $668.75 , $601.88 , $337.53 ,55.1%,3
29819 - SHOULDER ARTHROSCOPYREMOVE,1,"1,352","1,352","1,011","1,011",1011,74.8%,,29819," $1,011.22 ", $910.10 ," $1,011.22 ",74.8%,1
23585 - REPAIR SCAPULAR FRACTURE,2,"2,998","1,499","1,009",505,505,33.7%,,23585," $1,681.70 "," $1,513.53 ", $504.51 ,33.7%,2
"17282 - DESTROY MALIG LESION, FACE",4,"1,530",383,"1,005",251,251,66.0%,,17282, $352.31 , $317.08 , $251.33 ,66.0%,4
45505 - REPAIR OF RECTUM,1,"1,343","1,343","1,005","1,005",1005,74.8%,,45505," $1,038.41 ", $934.57 ," $1,005.20 ",74.8%,1
"17263 - DESTROY MALIG LESION, TRUNK",4,"1,440",360,"1,004",251,251,69.7%,,17263, $331.48 , $298.33 , $250.90 ,69.7%,4
25606 - TREAT FX DISTAL RADIAL,1,"1,759","1,759","1,003","1,003",1003,57.0%,,25606," $1,151.79 "," $1,036.61 "," $1,003.46 ",57.0%,1
"11604 - REMOVE MALIG LESION, TRUNK",4,"2,244",561,997,249,249,44.4%,,11604, $532.80 , $479.52 , $249.25 ,44.4%,4
"82550 - ASSAY, Creatine Kinase, serum",152,"4,712",31,995,7,7,21.7%,,82550, $6.51 , $5.86 , $6.55 ,21.7%,152
"87210 - SMEAR, STAIN & INTERPRET, W",176,"4,224",24,995,6,6,24.7%,,87210, $5.82 , $5.24 , $5.65 ,24.7%,176
70549 - MR ANGIOGRAPH NECK W/O&W DYE (Technical),2,"3,556","1,778",995,497,497,28.0%,,70549, $514.81 , $605.29 , $497.40 ,28.0%,2
46750 - REPAIR OF ANAL SPHINCTER (Facility),1,"1,813","1,813",992,992,992,54.7%,,46750," $1,288.90 "," $1,160.01 ", $991.92 ,54.7%,1
54700 - DRAINAGE OF SCROTUM (Facility),3,"1,416",472,992,331,331,70.0%,,54700, $361.56 , $325.40 , $330.52 ,70.0%,3
57456 - Colposcopy of Cervix w/ Endometrial Curettage,4,"1,268",317,990,247,247,78.1%,,57456, $262.64 , $236.38 , $247.43 ,78.1%,4
28750 - FUSION OF BIG TOE JOINT,1,"1,810","1,810",989,989,989,54.7%,,28750," $1,345.59 "," $1,211.03 ", $989.24 ,54.7%,1
90672 - FluMist (Commercial only),49,"1,715",34,989,20,20,57.6%,,90672, Not Found , Not Found , $20.18 ,57.6%,49
"10140 - Incision & Drainage, hematoma/seroma in skin",5,"1,670",334,988,198,198,74.0%,,10140, $293.30 , $263.97 , $197.51 ,74.0%,5
"85380 - FIBRIN DEGRADATION, VTE",99,"1,881",19,985,10,10,52.4%,,85380, $10.18 , $9.16 , $9.95 ,52.4%,99
57452 - Colposcopy,5,"1,325",265,983,197,197,74.2%,,57452, $219.25 , $197.33 , $196.67 ,74.2%,5
"64517 - N BLOCK INJ, HYPOGAS PLXS",3,"1,413",471,978,326,326,69.2%,,64517, $333.22 , $299.90 , $326.11 ,69.2%,3
28299 - BUNION SURGERY,1,"2,153","2,153",969,969,969,45.0%,,28299," $1,728.56 "," $1,555.70 ", $968.80 ,45.0%,1
72202 - X-RAY EXAM OF SI JOINT 3+V (Technical),21,"1,110",53,966,46,46,91.2%,,72202, $72.66 , $65.39 , $45.99 ,91.2%,21
24341 - REPAIR ARM TENDON/MUSCLE,2,"3,154","1,577",964,482,482,24.5%,,24341," $1,281.38 "," $1,153.24 ", $482.12 ,24.5%,2
90472 - Admin addl VFC,51,"1,275",39,960,29,19,74.4%,,90472, $19.35 , $17.42 , $18.61 ,74.4%,51
"72125 - CT, CERVICAL SPINE, WO CONTRAST (Global)",4,"2,396",599,959,240,240,40.0%,,72125, $87.56 , $78.80 , $239.80 ,40.0%,4
28116 - REVISION OF FOOT,1,"1,726","1,726",957,957,957,55.4%,,28116," $1,321.87 "," $1,189.68 ", $956.82 ,55.4%,1
"25605 - TREAT RADIUSULNA FX,WMANI",1,"1,245","1,245",956,956,956,76.8%,,25605, $938.91 , $845.02 , $955.92 ,76.8%,1
90678 - RSV VACC PREF BIVALENT IM,3,"2,277",759,956,319,319,42.0%,,90678, $331.34 , $331.34 , $318.60 ,42.0%,3
